,STARTDATE,ELAPSED,USERID,EVENTID,EVENT_DESC,WORKSPACEID,WS_DESC,TRANSACTIONTYPE,CORE_ID,HR_ORGANIZATION,LOCATION,USER_ROLE,MAG_CODE,ELAPSED_normalized,score
3167,2019-04-05 09:35:36,21.291,8931898,x84sljJzv,Team Allocation, ,Exception,1,NXP51149,HPMS.STI,AT-GRK01-s1,_Resource Manager,RC9,0.014955910960357373,3.3516889854
3300,2019-04-08 04:40:51,12.151,19511734,x84sljJzv,Team Allocation, ,Exception,1,NXF31173,HPMS.CBS,IN-BLR01-s1,_Resource Manager,R88,0.008426318116905432,2.401432843
3313,2019-04-08 06:06:46,19.317,138977378,x84sljJzv,Team Allocation, ,Exception,1,NXF44200,HPMS.STI,IN-BLR01-s1,_PM+RM,RC9,0.013545690361563703,3.2022665071
3315,2019-04-08 06:11:52,20.334,3265597,x84sljJzv,Team Allocation, ,Exception,1,NXP15183,HPMS.STI,AT-GRK01-s1,_Resource,RC9,0.014272232584954362,3.281783422
3330,2019-04-08 07:15:00,21.101,8557595,x84sljJzv,Team Allocation, ,Exception,1,NXP99374,HPMS.IDA,IN-BLR01-s1,_Resource Manager,RA1,0.014820175441729816,3.3382606721
3347,2019-04-08 07:36:59,84.453,8697348,x84sljJzv,Team Allocation, ,Exception,0,ING02203,T&O.TO-PT,IN-BLR01-s1,_PM+RM+Portfolio,RPT,0.060078683736956004,4.8973234708
3444,2019-04-08 12:21:36,159.336,257138781,x84sljJzv,Team Allocation, ,Exception,1,deepika_ro,The Support IT.A Support PMO,,_Core Team User,,0.11357490921794197,5.3001369203
3491,2019-04-08 15:47:19,13.644,8706120,x84sljJzv,Team Allocation, ,Exception,1,NXP29279,HPMS.SIP,CN-SHA01-s1,_PM+RM,R67,0.009492913534331444,2.6345242357
3588,2019-04-09 11:53:20,21.529,7210541,x84sljJzv,Team Allocation, ,Exception,1,DEP15373,HPMS.SEN,DE-HBG02,_PMO+RM,R53,0.015125937557375048,3.3688593164
3670,2019-04-10 06:09:20,13.198,257138781,x84sljJzv,Team Allocation, ,Exception,0,deepika_ro,The Support IT.A Support PMO,,_Core Team User,,0.009174292264289915,2.5665626003
3879,2019-04-11 14:37:25,12.108,9625601,x84sljJzv,Team Allocation, ,Exception,0,B36144,T&O.TO-FO,US-AUS02,_PMO+RM,RAT,0.008395599025847618,2.3961425348
3905,2019-04-11 20:50:49,39.833,9622556,x84sljJzv,Team Allocation, ,Exception,1,R20110,T&O.TO-FO,US-AUS02,_PMO+RM,RAT,0.028202268783473986,4.1991972742
3983,2019-04-12 08:44:13,16.959,3262040,x84sljJzv,Team Allocation, ,Exception,0,ATP01764,HPMS.STI,AT-GRK01-s1,_Resource Manager,RC9,0.011861141135649077,2.9990721748
4034,2019-04-12 12:07:41,0.859,8925085,x84sljJzv,Team Allocation, ,Exception,1,DEP11210,HPMS.OPS,DE-HBG02,_Resource Manager,RC9,0.055381520394976076,4.8366556471
4061,2019-04-12 14:28:08,2.518,8720501,x84sljJzv,Team Allocation, ,Exception,1,NXP90642,HPMS.STI,US-SJO01-s1,_PM+RM+Portfolio,RC9,0.09423759859578035,5.2018123094
4162,2019-04-15 08:15:24,2.641,19511734,x84sljJzv,Team Allocation, ,Exception,1,NXF31173,HPMS.CBS,IN-BLR01-s1,_Resource Manager,R88,0.007973390123169269,2.3071308079
4237,2019-04-15 14:03:04,1.335,8687255,x84sljJzv,Team Allocation, ,Exception,1,DEP10906,HPMS.STI,DE-HBG02,_PMO+RM,RC9,0.008313443317204622,2.3823913181
4304,2019-04-15 20:56:02,4.482,60790,x84sljJzv,Team Allocation, ,Exception,0,RA0857,HPMS.MICR,US-AUS01,_PMO+RM,RMC,0.01553314411325772,3.4120967723
4326,2019-04-15 22:45:56,1.684,11066939,x84sljJzv,Team Allocation, ,Exception,1,JANNINE_DM,The Support IT.A Support PMO,NXP-REMOTE,_Core Team Support User,,0.010523074680967954,2.8100670421
4343,2019-04-16 06:34:02,2.467,17548761,x84sljJzv,Team Allocation, ,Exception,1,NXF35513,HPMS.STI,AT-GRK01-s1,<No Rights>,RC9,0.009370037170100182,2.6084829673
4405,2019-04-16 11:08:01,0.666,62100,x84sljJzv,Team Allocation, ,Exception,1,B53450,HPMS.STI,IN-BLR01-s1,_PM+RM,RC9,0.05608591629690646,4.8459179656
4557,2019-04-17 09:42:59,4.214,8556620,x84sljJzv,Team Allocation, ,Exception,0,DEP10304,HPMS.IDA,DE-HBG02,_Resource Manager,RRA,0.024650284580230764,4.053031919
4571,2019-04-17 11:16:49,1.442,10782842,x84sljJzv,Team Allocation, ,Exception,1,NXF28689,HPMS.AMP,IN-NDA02,_PM+RM,RNG,0.18762720739887168,5.5076350252
4579,2019-04-17 11:45:41,1.146,8925514,x84sljJzv,Team Allocation, ,Exception,1,NXP29574,HPMS.OPS,AT-GRK01-s1,_Resource Manager,RC9,0.01741558143738199,3.5888403023
5091,2019-04-23 06:30:24,1.28,8963011,x84sljJzv,Team Allocation, ,Exception,1,NXP89731,HPMS.CBS,NL-HTC01-s1,_PM+RM,R88,0.015891057243954593,3.4457551869
5156,2019-04-23 13:54:01,0.686,1998069,x84sljJzv,Team Allocation, ,Exception,1,nxp007828,T&O.SSC-GTI,NL-HTC01-s1,_PMO+RM,R89,0.008997836090074093,2.5267749476
5210,2019-04-24 07:25:47,1.284,58699,x84sljJzv,Team Allocation, ,Exception,1,TTT576,HPMS.SEN,FR-TLS02,_Resource Manager,RSE,0.008969260191415659,2.5217630036
5301,2019-04-24 18:48:39,1.354,4245433,x84sljJzv,Team Allocation, ,Exception,1,B60078,HPMS.SEN,US-CHD01,_PMO+RM,RSE,0.01952876914317311,3.7580212053
5327,2019-04-25 06:43:09,2.115,7631998,x84sljJzv,Team Allocation, ,Exception,0,NXP73005,HPMS.AAA,AT-GRK01-s1,_PMO+RM,R62,0.03054406367853257,4.2856651584
5392,2019-04-25 13:31:25,0.574,31279389,x84sljJzv,Team Allocation, ,Exception,1,NXF41825,HPMS.STI,IN-BLR01-s1,_Resource Manager,RC9,0.011041012844152051,2.8861000884
5531,2019-04-26 14:32:23,1.046,8700775,x84sljJzv,Team Allocation, ,Exception,1,NXF23910,HPMS.STI,AT-GRK01-s1,_Resource Manager,RC9,0.017286989893419043,3.5788532022
5557,2019-04-26 19:38:00,0.814,56603,x84sljJzv,Team Allocation, ,Exception,1,RA0937,"HPMS.Kechichian, Kevork - NXF53803",US-AUS01,_PMO+RM,RP2,0.05225746027414289,4.7911013212
5566,2019-04-26 21:47:48,4.608,8922726,x84sljJzv,Team Allocation, ,Exception,0,NXF06750,HPMS.STI,US-IVN03,_PM+RM,RC9,0.009426474569950587,2.621947947
5724,2019-04-29 16:16:35,7.479,60803,x84sljJzv,Team Allocation, ,Exception,1,RZWB50,"HPMS.Kechichian, Kevork - NXF53803",US-AUS01,_Resource Manager,RMC,0.014287234931750041,3.2837422528
