,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
113,frozenset({'IN-BLR01-s1'}),"frozenset({'4_to_6', '_PM+RM'})",0.12289966394623139,0.19395103216514642,0.04824771963514162,0.392578125,2.024109491027228,0.02441120296002041,1.3270002300046464
114,"frozenset({'4_to_6', 'T&O.TO-FO'})",frozenset({'NL-NYM01-s1'}),0.02328372539606337,0.09673547767642823,0.014162265962554009,0.6082474226804123,6.2877388657235675,0.011909903664279036,2.3057015438259594
115,"frozenset({'4_to_6', 'NL-NYM01-s1'})",frozenset({'T&O.TO-FO'}),0.04752760441670667,0.04752760441670667,0.014162265962554009,0.297979797979798,6.269615345372922,0.011903392780963053,1.3567592397517416
116,frozenset({'T&O.TO-FO'}),"frozenset({'4_to_6', 'NL-NYM01-s1'})",0.04752760441670667,0.04752760441670667,0.014162265962554009,0.297979797979798,6.269615345372922,0.011903392780963053,1.3567592397517416
117,frozenset({'NL-NYM01-s1'}),"frozenset({'4_to_6', 'T&O.TO-FO'})",0.09673547767642823,0.02328372539606337,0.014162265962554009,0.14640198511166252,6.2877388657235675,0.011909903664279036,1.1442344728644955
118,"frozenset({'4_to_6', 'NL-NYM01-s1'})",frozenset({'_PMO+RM'}),0.04752760441670667,0.21339414306289006,0.02400384061449832,0.5050505050505051,2.3667496108440993,0.01386172819816317,1.5892648946280385
119,frozenset({'_PMO+RM'}),"frozenset({'4_to_6', 'NL-NYM01-s1'})",0.21339414306289006,0.04752760441670667,0.02400384061449832,0.1124859392575928,2.3667496108440993,0.01386172819816317,1.0731913303847247
120,"frozenset({'4_to_6', 'The Support IT.A Support PMO'})",frozenset({'NXP-REMOTE'}),0.012481997119539127,0.03336533845415266,0.012481997119539127,1.0,29.971223021582738,0.012065531061061945,inf
121,"frozenset({'4_to_6', 'NXP-REMOTE'})",frozenset({'The Support IT.A Support PMO'}),0.012481997119539127,0.03336533845415266,0.012481997119539127,1.0,29.971223021582738,0.012065531061061945,inf
122,frozenset({'The Support IT.A Support PMO'}),"frozenset({'4_to_6', 'NXP-REMOTE'})",0.03336533845415266,0.012481997119539127,0.012481997119539127,0.3741007194244605,29.971223021582738,0.012065531061061945,1.5777586482802768
123,frozenset({'NXP-REMOTE'}),"frozenset({'4_to_6', 'The Support IT.A Support PMO'})",0.03336533845415266,0.012481997119539127,0.012481997119539127,0.3741007194244605,29.971223021582738,0.012065531061061945,1.5777586482802768
