,STARTDATE,ELAPSED,score
39358,2019-04-01 19:29:00,0.11837533333333332,4.3592570247
39453,2019-04-01 21:04:00,0.036628499999999994,1.5848723668
39755,2019-04-02 02:06:00,0.0466515,1.9400839517
40033,2019-04-02 06:44:00,0.037648,1.6588443085
40115,2019-04-02 08:06:00,0.04300299999999999,1.7638538252
40163,2019-04-02 08:54:00,0.044395333333333335,1.8166960874
40233,2019-04-02 10:04:00,0.07609483333333333,3.0005831347
40669,2019-04-02 17:20:00,0.04827,1.9514704434
40722,2019-04-02 18:13:00,0.07585766666666667,3.0075024674
40891,2019-04-02 21:02:00,0.043945333333333336,1.7877544931
40898,2019-04-02 21:09:00,0.044096833333333335,1.7918434621
41555,2019-04-03 08:06:00,0.04948266666666667,1.9605614332
41926,2019-04-03 14:17:00,0.05002616666666666,1.979549501
41942,2019-04-03 14:33:00,0.057292166666666665,2.2246888946
41995,2019-04-03 15:26:00,0.03852883333333333,1.6917487897
42059,2019-04-03 16:30:00,0.24031833333333333,6.2014720143
42262,2019-04-03 19:53:00,0.07759016666666667,3.1121690287
42374,2019-04-03 21:45:00,0.045829666666666664,1.8788507979
42939,2019-04-04 07:10:00,0.10092316666666666,3.8819234371
42945,2019-04-04 07:16:00,0.24863433333333332,6.2773267015
43032,2019-04-04 08:43:00,0.03652933333333333,1.5734957836
43089,2019-04-04 09:40:00,0.04771383333333334,1.9517126369
43090,2019-04-04 09:41:00,0.20418466666666665,5.7716092093
43220,2019-04-04 11:51:00,0.05444516666666666,2.1383593503
43427,2019-04-04 15:18:00,0.16278866666666666,5.2096719032
43525,2019-04-04 16:56:00,0.10942283333333333,4.1340038236
43740,2019-04-04 20:31:00,0.08569683333333333,3.3843172047
43779,2019-04-04 21:10:00,0.05045466666666667,2.0015983877
44351,2019-04-05 06:42:00,0.12969083333333334,4.603253386
44539,2019-04-05 09:50:00,0.03603283333333333,1.5483624554
44784,2019-04-05 13:55:00,0.04592433333333333,1.8799010681
44864,2019-04-05 15:15:00,0.19515066666666667,5.6515909403
44865,2019-04-05 15:16:00,0.113758,4.2349789541
44867,2019-04-05 15:18:00,0.06825383333333333,2.760271386
44929,2019-04-05 16:20:00,0.07129783333333332,2.8760847307
45013,2019-04-05 17:44:00,0.06840166666666667,2.7649206767
45017,2019-04-05 17:48:00,0.07425133333333332,2.9822841343
45211,2019-04-05 21:02:00,0.1094535,4.1346421975
46468,2019-04-06 17:59:00,0.20164683333333333,5.7386464512
48462,2019-04-08 03:13:00,0.044548333333333336,1.8555612366
48483,2019-04-08 03:34:00,0.045953,1.8801866001
48491,2019-04-08 03:42:00,0.040094,1.700536332
48594,2019-04-08 05:25:00,0.04135933333333333,1.7199052053
48635,2019-04-08 06:06:00,0.046898999999999996,1.9410192412
48641,2019-04-08 06:12:00,0.034909166666666665,1.5327329807
48654,2019-04-08 06:25:00,0.03452233333333333,1.5067643888
48655,2019-04-08 06:26:00,0.03539933333333333,1.5351017217
48657,2019-04-08 06:28:00,0.0390115,1.711224729
48659,2019-04-08 06:30:00,0.10812133333333332,4.1003029707
48664,2019-04-08 06:35:00,0.06239916666666666,2.44358476
48670,2019-04-08 06:41:00,0.03757816666666666,1.6588497257
48672,2019-04-08 06:43:00,0.05583133333333333,2.1604103008
48675,2019-04-08 06:46:00,0.037456166666666665,1.6434761507
48690,2019-04-08 07:01:00,0.0800265,3.1732262828
48695,2019-04-08 07:06:00,0.03641283333333333,1.5558901799
48696,2019-04-08 07:07:00,0.0435505,1.7795504361
48697,2019-04-08 07:08:00,0.04663816666666667,1.940035645
48698,2019-04-08 07:09:00,0.05742083333333333,2.2347889893
48699,2019-04-08 07:10:00,0.06335433333333333,2.4722972091
48700,2019-04-08 07:11:00,0.055171,2.1466078023
48701,2019-04-08 07:12:00,0.048352,1.9520420344
48702,2019-04-08 07:13:00,0.054092666666666664,2.1236749875
48703,2019-04-08 07:14:00,0.0419955,1.7206200696
48704,2019-04-08 07:15:00,0.05179216666666666,2.0565604642
48706,2019-04-08 07:17:00,0.04581483333333333,1.8786714824
48707,2019-04-08 07:18:00,0.05362733333333333,2.0928882046
48708,2019-04-08 07:19:00,0.04088633333333334,1.7114842894
48710,2019-04-08 07:21:00,0.04199933333333333,1.7206534223
48711,2019-04-08 07:22:00,0.050242833333333334,1.9919433833
48712,2019-04-08 07:23:00,0.04616866666666666,1.9341821068
48713,2019-04-08 07:24:00,0.06471883333333332,2.5644812386
48714,2019-04-08 07:25:00,0.04385516666666666,1.7851205885
48715,2019-04-08 07:26:00,0.036538666666666664,1.5736616156
48719,2019-04-08 07:30:00,0.04361349999999999,1.7772370405
48721,2019-04-08 07:32:00,0.036005833333333334,1.5458284869
48724,2019-04-08 07:35:00,0.04339183333333333,1.7752196964
48725,2019-04-08 07:36:00,0.09377983333333333,3.6790628074
48727,2019-04-08 07:38:00,0.15762199999999998,5.1284537772
48728,2019-04-08 07:39:00,0.0443975,1.8167100013
48729,2019-04-08 07:40:00,0.038946999999999996,1.7134138719
48730,2019-04-08 07:41:00,0.03793116666666666,1.6683179365
48732,2019-04-08 07:43:00,0.03637633333333334,1.5553409554
48733,2019-04-08 07:44:00,0.04408716666666667,1.7915814356
48734,2019-04-08 07:45:00,0.09408466666666666,3.6858932268
48745,2019-04-08 07:56:00,0.04241433333333333,1.72968161
48747,2019-04-08 07:58:00,0.037318,1.6493767207
48751,2019-04-08 08:02:00,0.057779500000000004,2.2487750874
48752,2019-04-08 08:03:00,0.053144833333333336,2.090081465
48769,2019-04-08 08:20:00,0.06283716666666667,2.4549021698
48770,2019-04-08 08:21:00,0.09538499999999998,3.7142551388
48772,2019-04-08 08:23:00,0.04236566666666666,1.7297250445
48776,2019-04-08 08:27:00,0.04976733333333333,1.9700516052
48786,2019-04-08 08:37:00,0.03560683333333333,1.5501002459
48819,2019-04-08 09:10:00,0.037991166666666666,1.6707522908
48820,2019-04-08 09:11:00,0.04648716666666666,1.9392154342
48823,2019-04-08 09:14:00,0.04607666666666666,1.9152428425
48825,2019-04-08 09:16:00,0.03879433333333333,1.7124042127
48826,2019-04-08 09:17:00,0.051692499999999995,2.0545531945
48828,2019-04-08 09:19:00,0.038642499999999996,1.6921256909
48829,2019-04-08 09:20:00,0.037460999999999994,1.6434868947
48832,2019-04-08 09:23:00,0.04345316666666666,1.7769819772
48835,2019-04-08 09:26:00,0.035993333333333336,1.5448879958
48917,2019-04-08 10:48:00,0.07394816666666666,2.9773692625
48924,2019-04-08 10:55:00,0.068673,2.7733017488
48989,2019-04-08 12:00:00,0.0389005,1.7135403326
48990,2019-04-08 12:01:00,0.49372866666666665,7.5668349106
48995,2019-04-08 12:06:00,0.06997683333333334,2.813500486
49010,2019-04-08 12:21:00,0.04588716666666666,1.8795083132
49052,2019-04-08 13:03:00,0.03687033333333333,1.5989116213
49065,2019-04-08 13:16:00,0.07947283333333333,3.1602550846
49066,2019-04-08 13:17:00,0.07533566666666666,2.9957599881
49074,2019-04-08 13:25:00,0.05690799999999999,2.218203779
49102,2019-04-08 13:53:00,0.07858849999999999,3.1356360145
49117,2019-04-08 14:08:00,0.07414716666666667,2.9806952254
49123,2019-04-08 14:14:00,0.03569283333333333,1.5468159621
49153,2019-04-08 14:44:00,0.12597566666666668,4.5266094084
49158,2019-04-08 14:49:00,0.09343166666666666,3.6711483952
49172,2019-04-08 15:03:00,0.21349216666666665,5.9139335868
49228,2019-04-08 15:59:00,0.1271105,4.5506705158
49235,2019-04-08 16:06:00,0.05880899999999999,2.295922719
49260,2019-04-08 16:31:00,0.042356,1.7297651042
49279,2019-04-08 16:50:00,0.036663499999999995,1.5858040358
49321,2019-04-08 17:32:00,0.03852266666666666,1.691699029
49436,2019-04-08 19:27:00,0.03491966666666667,1.5326297913
49480,2019-04-08 20:11:00,0.11586933333333332,4.2852555847
49485,2019-04-08 20:16:00,0.08893266666666666,3.5236225563
49492,2019-04-08 20:23:00,0.0351235,1.5377299473
49505,2019-04-08 20:36:00,0.04147466666666667,1.7103244014
50231,2019-04-09 08:42:00,0.037081499999999996,1.6020026941
50267,2019-04-09 09:18:00,0.06469766666666667,2.5636870264
50386,2019-04-09 11:17:00,0.0420095,1.720736309
50409,2019-04-09 11:40:00,0.04525066666666667,1.8555750172
50443,2019-04-09 12:14:00,0.048219000000000005,1.9544620355
50588,2019-04-09 14:39:00,0.03544166666666666,1.5321189939
50677,2019-04-09 16:08:00,0.03877233333333333,1.7124109542
50706,2019-04-09 16:37:00,0.1101705,4.1631461707
50825,2019-04-09 18:36:00,0.04569883333333333,1.8715251452
50932,2019-04-09 20:23:00,0.086961,3.422900637
51049,2019-04-09 22:20:00,0.039025,1.7113860941
51247,2019-04-10 01:38:00,0.03711783333333333,1.6039509505
51325,2019-04-10 02:56:00,0.06347533333333333,2.4836370898
51599,2019-04-10 07:30:00,0.19964649999999998,5.7117188227
51636,2019-04-10 08:07:00,0.06693533333333333,2.6819051093
51903,2019-04-10 12:34:00,0.053711999999999996,2.0933704387
51921,2019-04-10 12:52:00,0.036191999999999995,1.5511766166
