,STARTDATE,ELAPSED,ELAPSED_normalized,score
84015,2019-03-11 21:14:14,0.375,0.2764354790221955,6.2637610202
84141,2019-03-11 21:32:30,7.092,0.010007059594461765,2.4513017676
84187,2019-03-11 21:39:27,1.258,0.024110035095304523,4.1390759266
84198,2019-03-11 21:41:29,3.195,0.09908630607564238,5.7370660567
84212,2019-03-11 21:44:37,0.951,0.010512377934882841,2.5674563578
84265,2019-03-11 21:51:58,0.671,0.0135246967583288,3.0703023636
84271,2019-03-11 21:52:45,1.772,0.010523186883341046,2.569063901
84301,2019-03-11 21:57:47,0.774,0.010971758244356545,2.6445048082
84415,2019-03-11 22:11:49,0.834,0.045389476813116655,5.004876784
84434,2019-03-11 22:14:50,2.178,0.015860105184579684,3.3742034846
84443,2019-03-11 22:16:28,3.094,0.074200053369183,5.4963982763
84470,2019-03-11 22:19:08,1.867,0.030861574526010717,4.5170396012
84474,2019-03-11 22:19:19,0.787,0.013209886134483586,3.0207689697
84476,2019-03-11 22:20:08,0.575,0.06837335459093197,5.426456697
84507,2019-03-11 22:23:30,0.234,0.02714667405278144,4.3230287431
84519,2019-03-11 22:25:56,2.53,0.03199921635123678,4.5661079923
84520,2019-03-11 22:26:23,46.916,0.019098736366369305,3.7296302998
84521,2019-03-11 22:26:37,27.82,0.11472617893538613,5.8423863997
84647,2019-03-11 22:40:10,0.412,0.008441788745857976,2.149915089
84696,2019-03-11 22:46:39,2.867,0.011261573174892165,2.695933606
84717,2019-03-11 22:48:28,1.133,0.010100286774913782,2.4701351762
84720,2019-03-11 22:49:45,2.299,0.026321140614286052,4.2758603389
84739,2019-03-11 22:57:39,1.511,0.07105194713073086,5.460315696
84804,2019-03-11 23:08:27,1.072,0.008725523642885855,2.1989933269
84837,2019-03-11 23:14:04,0.375,0.009049116537353363,2.2595801902
84850,2019-03-11 23:15:59,1.382,0.010130686942452482,2.4761513231
84874,2019-03-11 23:18:00,3.328,0.032797727418586664,4.6036024436
84880,2019-03-11 23:19:09,0.152,0.07915663179654857,5.552169242
84910,2019-03-11 23:26:06,3.156,0.015706077669050262,3.3538677676
84914,2019-03-11 23:27:13,2.613,0.017873271834920334,3.597411191
84927,2019-03-11 23:28:38,0.912,0.05234571070525011,5.1624234984
85042,2019-03-11 23:49:38,0.449,0.00806279999054217,2.0678208377
85072,2019-03-11 23:56:54,1.05,0.010531969153963337,2.5703621478
85275,2019-03-12 00:53:58,4.006,0.013398367173223534,3.052395663
85490,2019-03-12 02:08:07,1.631,0.008270872248362614,2.1128729554
85704,2019-03-12 03:22:13,0.653,0.012924800118898433,2.9771041283
85748,2019-03-12 03:41:04,0.818,0.015189950380170984,3.2935499282
85750,2019-03-12 03:42:08,0.62,0.012268156500062488,2.8616225524
85751,2019-03-12 03:42:15,17.709,0.011010265123238902,2.6501327233
85915,2019-03-12 04:53:00,1.129,0.009124103617282157,2.2734740441
86082,2019-03-12 05:36:28,0.936,0.010513053494161479,2.5675570904
86110,2019-03-12 05:39:57,1.753,0.016557957919412534,3.4552612183
86115,2019-03-12 05:40:49,0.998,0.008047262127133501,2.0657030385
86145,2019-03-12 05:58:39,2.927,0.019207501410229994,3.7396965222
86272,2019-03-12 06:30:58,2.032,0.00825330770711803,2.1072048651
86274,2019-03-12 06:32:50,2.408,0.014898784331078092,3.2589119234
86352,2019-03-12 06:44:03,1.822,0.009809120725820889,2.4129354623
86398,2019-03-12 06:50:55,2.656,0.007963492776582412,2.0481248403
86415,2019-03-12 06:52:54,5.338,0.007977679521433807,2.0494914292
86450,2019-03-12 07:04:33,1.972,0.008707959101641271,2.1961594634
86477,2019-03-12 07:11:26,1.875,0.01638906809975308,3.4346500831
86499,2019-03-12 07:14:26,6.406,0.009333526993659877,2.3131363214
86505,2019-03-12 07:16:39,6.371,0.009440265359684648,2.3384187818
86506,2019-03-12 07:16:46,13.523,0.009276780014254301,2.303900359
86515,2019-03-12 07:19:01,2.039,0.03885952082580366,4.8224829562
86626,2019-03-12 07:34:53,1.936,0.008818075264059233,2.2199329844
86681,2019-03-12 07:38:18,1.569,0.09255229673265755,5.6813004298
86707,2019-03-12 07:39:11,2.864,0.010544129220978818,2.5721542696
86734,2019-03-12 07:41:33,0.037,0.00811211581788273,2.0748300771
86775,2019-03-12 07:44:30,1.075,0.010504271223539188,2.5662436217
86813,2019-03-12 07:46:22,1.605,0.014446159614390764,3.1994004155
87068,2019-03-12 08:01:57,1.852,0.009373384991099507,2.3238804433
87163,2019-03-12 08:10:39,2.044,0.030769022904837337,4.5129516991
87171,2019-03-12 08:12:16,1.601,0.016608624865310367,3.4614915864
87214,2019-03-12 08:16:18,1.035,0.00846881111700349,2.1540252694
87223,2019-03-12 08:16:35,2.029,0.013440251848499075,3.0580581614
87280,2019-03-12 08:19:17,1.028,0.008223583098857967,2.1022862374
87284,2019-03-12 08:19:34,4.53,0.008408686341204724,2.1419463987
87437,2019-03-12 08:27:56,1.58,0.009222059712684638,2.293859611
87447,2019-03-12 08:28:26,8.444,0.008509344673721757,2.1601063766
87459,2019-03-12 08:28:41,3.191,0.012178307116003663,2.844713927
87492,2019-03-12 08:29:58,3.491,0.010438066414232682,2.5501998272
87518,2019-03-12 08:31:32,1.434,0.02671093831806006,4.2981322575
87557,2019-03-12 08:34:20,0.79,0.011478427703334898,2.7312395772
87587,2019-03-12 08:36:00,1.556,0.011119030167099588,2.6710086558
87624,2019-03-12 08:37:55,0.292,0.00895453823834407,2.2427968811
87670,2019-03-12 08:39:52,5.736,0.01518522146522052,3.29302204
87720,2019-03-12 08:42:27,1.02,0.01507983421775302,3.2809999665
87736,2019-03-12 08:43:08,2.474,0.012624176239904611,2.9292457892
87737,2019-03-12 08:43:12,18.236,0.01014690036513979,2.4791620556
87781,2019-03-12 08:45:08,0.026,0.009214628560619623,2.2913823473
87782,2019-03-12 08:45:08,13.189,0.0122593742294402,2.8604040769
87809,2019-03-12 08:46:00,1.355,0.008438410949464788,2.149319469
87826,2019-03-12 08:46:30,1.523,0.013900307717251419,3.1282331188
87850,2019-03-12 08:47:58,0.857,0.008572171686635073,2.1709437771
87862,2019-03-12 08:48:43,0.795,0.009257188795173805,2.3010125068
87868,2019-03-12 08:49:14,1.585,0.008853879905827037,2.2286443421
87877,2019-03-12 08:49:37,7.584,0.012454610860966522,2.8985586468
87942,2019-03-12 08:55:43,0.788,0.012382326018152277,2.885491655
87971,2019-03-12 09:00:00,5.948,0.008315459160752709,2.1214306016
87982,2019-03-12 09:01:03,0.166,0.008482997861854883,2.1564133325
87999,2019-03-12 09:02:05,1.83,0.02163343477981834,3.956687199
88025,2019-03-12 09:03:44,1.114,0.008703905745969444,2.1954616155
88027,2019-03-12 09:03:52,5.893,0.00792160810130687,2.0404213937
88055,2019-03-12 09:05:07,1.426,0.0100881267078983,2.4682074665
88059,2019-03-12 09:05:19,3.377,0.01823672272682747,3.6391516252
88127,2019-03-12 09:10:35,4.027,0.034846698710695116,4.6823358235
88221,2019-03-12 09:18:08,2.839,0.021755035449973145,3.9636842383
88232,2019-03-12 09:18:47,0.872,0.026402883287001223,4.280598789
88245,2019-03-12 09:20:36,3.669,0.008724172524328578,2.1987581192
88246,2019-03-12 09:20:37,12.463,0.010144873687303877,2.4788379773
88249,2019-03-12 09:21:05,2.042,0.014275918676174039,3.1775684848
88253,2019-03-12 09:22:13,3.003,0.011488561092514464,2.734912438
88258,2019-03-12 09:22:40,3.734,0.01886026394101016,3.7057047087
88264,2019-03-12 09:23:25,0.282,0.011971585976740494,2.8121544651
88267,2019-03-12 09:23:40,1.717,0.020087755150295046,3.8227698507
88270,2019-03-12 09:23:48,1.272,0.013692235459430976,3.0992310644
88271,2019-03-12 09:24:00,19.817,0.01104742088356398,2.6573462202
88281,2019-03-12 09:25:04,1.291,0.02507000483024884,4.1994148166
88316,2019-03-12 09:26:56,0.936,0.02617251757298573,4.2670229038
88318,2019-03-12 09:26:59,0.751,0.012414077304248254,2.8912345437
88343,2019-03-12 09:28:05,3.032,0.023021709097419026,4.058679636
88369,2019-03-12 09:28:54,0.887,0.021640865931883354,3.9572235436
88370,2019-03-12 09:29:01,31.583,0.009240975372486497,2.2987828566
88375,2019-03-12 09:30:02,0.91,0.015866185218087425,3.3749015324
88379,2019-03-12 09:30:35,1.368,0.008452597694316182,2.1504545787
88384,2019-03-12 09:31:05,0.798,0.012487037706341138,2.9037539455
88387,2019-03-12 09:31:27,1.062,0.009297722351892072,2.3076237673
88394,2019-03-12 09:32:05,0.636,0.01789218749472219,3.5995379222
88402,2019-03-12 09:33:01,1.145,0.011473698788384435,2.7305925297
88415,2019-03-12 09:33:43,1.892,0.013998263812653901,3.1416460173
88426,2019-03-12 09:34:32,0.871,0.01613168001459208,3.4055521507
88435,2019-03-12 09:35:36,0.963,0.013673995358907755,3.0955597515
88439,2019-03-12 09:35:43,6.953,0.06588391864915166,5.3936434269
88441,2019-03-12 09:35:53,0.368,0.011439245265173906,2.7245821475
88451,2019-03-12 09:37:32,2.534,0.01717339242225157,3.5249812514
88462,2019-03-12 09:38:09,5.265,0.009598346230885894,2.3719366647
88485,2019-03-12 09:39:01,4.643,0.0082688455705267,2.1126033444
88486,2019-03-12 09:39:05,11.789,0.007964843895139689,2.0483290826
