Combined_frozenset,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'4_to_6', '_PMO+RM', 'HPMS.SIP', 'BE-LEU01-s1'})",0.07007204900336395,0.07007204900336396,0.008435005271878295,0.4723236289856003,16.560301243538458,0.006907606353987667,inf
"frozenset({'4_to_6', 'HPMS.SIP', '_Program Manager', 'BE-LEU01-s1'})",0.017340713962946223,0.017340713962946227,0.002410001506250942,0.3559913314532725,20.57993166520983,0.0022923192704763177,inf
"frozenset({'4_to_6', '_Program Manager', 'HPMS.RPS', 'CN-CDU01'})",0.054526284078927546,0.054526284078927546,0.0039915649947281215,0.4270372475232015,16.980753310633226,0.0034952633637458084,inf
"frozenset({'4_to_6', 'DE-HBG02', 'HPMS.SEN', '_PMO+RM'})",0.0711766330270623,0.0711766330270623,0.006552191595119745,0.3930521352108343,10.822002079786886,0.005420365052700292,2.6982769656110914
"frozenset({'4_to_6', 'HPMS.SIP', 'CN-SHA01-s1', '_PM+RM'})",0.03433624541848672,0.03433624541848672,0.0011296882060551285,0.18626366565757657,8.65930908772307,0.0009063804727864346,1.2927872885929792
"frozenset({'4_to_6', 'HPMS.STI', 'CN-SHA01-s1', '_Program Manager'})",0.09640006025003765,0.09640006025003767,0.003238439524024702,0.30203158117272505,3.8505440832017657,0.0022745376139719103,1.7467354374716042
"frozenset({'4_to_6', '_Program Manager', 'HPMS.MICR', 'CN-SHA02'})",0.06844027715017321,0.06844027715017321,0.006778129236330773,0.4074874100701284,11.177099656121003,0.0054915748677542,inf
"frozenset({'4_to_6', 'CN-TNJ03', '_Program Manager', 'HPMS.MICR'})",0.06221569513480946,0.06221569513480946,0.005723753577345987,0.42031957264421094,11.123491999446516,0.004904725373971209,inf
"frozenset({'4_to_6', 'DE-HBG02', 'HPMS.CBS', '_PM+RM'})",0.04005999899583271,0.0400599989958327,0.002410001506250942,0.1900024449898928,6.277054423127603,0.001870718179949729,1.2552474233350182
"frozenset({'4_to_6', 'DE-HBG02', 'HPMS.CBS', '_Program Manager'})",0.0245048200030125,0.024504820003012497,0.0014309383943364967,0.11412532158456173,4.5426988241982444,0.001107610024892958,1.114115685205062
"frozenset({'4_to_6', 'DE-HBG02', '_Program Manager', 'HPMS.IDA'})",0.056341316463322785,0.05634131646332278,0.002033438770899232,0.16828647340744585,4.048179385802266,0.0014457467990579341,1.2955217437420952
"frozenset({'4_to_6', 'HPMS.SIP', '_Program Manager', 'CN-SHA01-s1'})",0.01863044133152583,0.018630441331525836,0.0010543756589847869,0.10373490099624795,7.413599105002303,0.0008293682224521417,1.1012245913809648
"frozenset({'HPMS.SIP', '_Program Manager', 'NL-NYM01-s1'})",0.04989456243410152,0.04989456243410152,0.006476879048049405,0.24583590455620694,4.788036587614863,0.005076679947947561,1.3878402400865597
"frozenset({'_PMO+RM', 'HPMS.SIP', 'NL-NYM01-s1'})",0.062038710649194154,0.06203871064919416,0.013857508660942913,0.27210671862888225,4.380035531512505,0.010692841741487453,1.3236117120270692
"frozenset({'_PMO+RM', 'HPMS.SIP', 'IN-BLR01-s1'})",0.10991866244916403,0.10991866244916403,0.004669377918361199,0.5175477265852719,10.820996303209043,0.003636578470331043,inf
"frozenset({'_Program Manager', 'HPMS.STI', 'DE-MUC02'})",0.08736255460159663,0.08736255460159663,0.002861876788672993,0.38346940028908216,5.016809636515569,0.0022532790338830686,8.205499146520093
"frozenset({'_PMO+RM', 'HPMS.Kechichian, Kevork - NXF53803', 'FR-CFR02-s1'})",0.016229853893658684,0.016229853893658684,0.002786564241602651,0.3701119402985074,24.83103289674079,0.0026124486433429872,inf
