,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
2841,"frozenset({'HPMS.MICR', '_Program Manager'})","frozenset({'US-AUS01', '6_or_more'})",0.048124717577948485,0.03712908570567856,0.004970628106642567,0.10328638497652583,2.7818187012541786,0.0031838013431293418,1.0737775117523063
2842,"frozenset({'HPMS.MICR', '6_or_more'})","frozenset({'US-AUS01', '_Program Manager'})",0.04963096851935533,0.013029070643169152,0.004970628106642567,0.10015174506828528,7.686791161946196,0.004323982711714982,1.0968192958619756
2843,"frozenset({'US-AUS01', '_Program Manager'})","frozenset({'HPMS.MICR', '6_or_more'})",0.013029070643169152,0.04963096851935533,0.004970628106642567,0.38150289017341044,7.686791161946196,0.004323982711714982,1.536577966786463
2844,"frozenset({'US-AUS01', '6_or_more'})","frozenset({'HPMS.MICR', '_Program Manager'})",0.03712908570567856,0.048124717577948485,0.004970628106642567,0.13387423935091278,2.781818701254178,0.0031838013431293418,1.099003546215624
2845,frozenset({'HPMS.MICR'}),"frozenset({'6_or_more', 'US-AUS01', '_Program Manager'})",0.1016719385449616,0.0076818798011748755,0.004970628106642567,0.048888888888888885,6.3641830065359475,0.004189596495587733,1.0433251263772694
2846,"frozenset({'_PMO+RM', '6_or_more', 'HPMS.OPS'})",frozenset({'TW-KHH01-s1'}),0.0010543756589847869,0.0024100015062509415,0.0010543756589847869,1.0,414.9375,0.0010518346120584792,inf
2847,"frozenset({'_PMO+RM', '6_or_more', 'TW-KHH01-s1'})",frozenset({'HPMS.OPS'}),0.0010543756589847869,0.019807199879499925,0.0010543756589847869,1.0,50.48669201520912,0.0010334914295591958,inf
2848,"frozenset({'6_or_more', 'HPMS.OPS', 'TW-KHH01-s1'})",frozenset({'_PMO+RM'}),0.0011296882060551287,0.37776773610483505,0.0010543756589847869,0.9333333333333333,2.470653907496013,0.0006276159028790085,9.333483958427477
2849,"frozenset({'_PMO+RM', '6_or_more'})","frozenset({'HPMS.OPS', 'TW-KHH01-s1'})",0.12373851483657178,0.0022593764121102574,0.0010543756589847869,0.00852099817407182,3.7713937918441878,0.0007748037772934814,1.0063154355769814
2850,"frozenset({'_PMO+RM', 'HPMS.OPS'})","frozenset({'6_or_more', 'TW-KHH01-s1'})",0.0021840638650399155,0.0011296882060551287,0.0010543756589847869,0.4827586206896552,427.33793103448284,0.00105190834779518,1.931149269468294
2851,"frozenset({'_PMO+RM', 'TW-KHH01-s1'})","frozenset({'6_or_more', 'HPMS.OPS'})",0.0021840638650399155,0.007154691971682482,0.0010543756589847869,0.4827586206896552,67.47441016333939,0.001038749354783944,1.9195009288547475
2852,"frozenset({'6_or_more', 'HPMS.OPS'})","frozenset({'_PMO+RM', 'TW-KHH01-s1'})",0.007154691971682482,0.0021840638650399155,0.0010543756589847869,0.14736842105263157,67.47441016333939,0.001038749354783944,1.170277949787916
2853,"frozenset({'6_or_more', 'TW-KHH01-s1'})","frozenset({'_PMO+RM', 'HPMS.OPS'})",0.0011296882060551287,0.0021840638650399155,0.0010543756589847869,0.9333333333333333,427.3379310344828,0.00105190834779518,14.967239042024405
